"ID","Connectivity","Control","Integration","LocalIntegration","X1","Y1","X2","Y2","Length"
7955,1,0.333333,0.903652,0.5,682.386,-4530.66,638.394,-4493.44,57.6282
7959,2,0.333333,1.06431,1.96146,-75.63,-5278.55,-116.238,-5221.02,70.4179
8006,2,0.666667,1.11101,1.27368,-393.726,-4138.1,-407.262,-4155.03,21.6686
8024,2,0.833333,1.10766,1.16341,-451.254,-4185.48,-468.174,-4205.79,26.4303
8027,2,0.533333,0.986618,1.37915,415.05,-4544.2,310.146,-4567.89,107.545
8029,2,0.833333,0.985214,1.16341,330.45,-4578.04,303.378,-4588.19,28.913
8059,6,0.836111,1.08968,3.26779,-1615.35,-4977.36,-1483.37,-4916.45,145.355
8081,2,0.236111,1.13596,1.81851,-1320.94,-5028.12,-1354.78,-4943.52,91.1194
8117,3,0.694444,1.13405,2.08105,-1375.09,-5095.81,-1385.24,-5024.74,71.7876
8118,5,1.38645,0.909725,2.9078,-576.462,-5576.35,-451.254,-5799.7,256.052
8119,5,1.47619,1.05413,2.60132,29.2739,-5231.17,93.5699,-5231.17,64.296
8120,3,0.509524,1.05395,2.02056,59.7299,-5214.25,93.5699,-5261.63,58.2217
8152,3,0.783333,1.08612,1.89575,-803.19,-5285.32,-708.438,-5177.02,143.892
8166,1,0.333333,1.03997,0.5,191.706,-5190.56,174.786,-5170.26,26.4304
8173,2,0.75,1.0779,1.27368,-671.214,-5217.63,-566.31,-5180.41,111.313
8183,2,0.833333,0.893391,1.16341,-1300.64,-2801.38,-1260.03,-2848.76,62.3989
8188,8,1.76389,1.04671,3.60415,-1114.52,-5474.83,-1273.57,-5325.93,217.871
8189,5,1.14841,1.04612,3.03077,-1283.72,-5268.4,-1202.5,-5197.33,107.919
