ID,Area_Name,Gate_No,Axial_Map,LineID,X,Y,mov_ped_ph,landuse,trafmanage,streettype,avebuildheight,maxbuildheight,diff_max_avbheight,street_width,pavement_width,gross_veh_road_width,parking_width,effective_road_width
195,SKMuseum,31,Kensington,2899,-934.881,-4294.96,64,residential,oneway,local,2,3,1,8.5,3,5.5,1.8,3.8
196,SKMuseum,32,Kensington,1127,-940.878,-4317.78,354,mixed,twoway,secondary,3,5,2,12,4.5,7.5,0,7.5
197,SKMuseum,33,Kensington,2152,-920.273,-4256.52,205,residential,twoway,secondary,5,5,0,18.5,6.5,12,3.5,8.5
198,SKMuseum,34,Kensington,2872,-920.344,-4212.45,19,residential,oneway,local,5,5,0,15,4,11,4.2,6.8
199,SKMuseum,35,Kensington,1220,-955.202,-4174.28,595,residential,twoway,primary,5,5,0,24,8.5,15.5,0,15.5
200,SKMuseum,36,Kensington,390,-1018.91,-4156.77,982,mixed,twoway,secondary,5,5,0,20,7,13,1.8,11.2
201,SKMuseum,37,Kensington,1760,-986.836,-4134.94,82,residential,oneway,local,6,6,0,15,5,10,3.5,6.5
202,SKMuseum,38,Kensington,3070,-955.183,-4111.5,163,residential,oneway,local,6,6,0,15,5,10,3.5,6.5
203,SKMuseum,40,Kensington,5574,-977.429,-4021.35,7,residential,twoway,local,2,3,1,9,0,9,3.5,5.5
204,SKMuseum,41,Kensington,390,-1039.13,-3989.3,434,retail,twoway,secondary,3,5,2,15,7.5,7.5,0,7.5
205,SKMuseum,42,Kensington,1765,-1033.99,-3970.71,19,residential,twoway,local,4,4,0,4.5,0,4.5,0,4.5
206,SKMuseum,45,Kensington,1338,-804.117,-3815.98,158,park,pedestrian,local,0,0,0,21,0,0,0,0
207,SKMuseum,46,Kensington,542,-782.879,-3846.13,259,residential,twoway,primary,9,9,0,20,8,12,0,12
208,SKMuseum,47,Kensington,2028,-822.53,-3854.27,148,cultural,oneway,local,4,9,5,15,5,10,1.8,8.2
209,SKMuseum,48,Kensington,4378,-796.222,-3877.73,36,residential,twoway,local,7,8,1,11,4,7,3.5,3.5
210,SKMuseum,49,Kensington,3913,-798.577,-3907.29,104,residential,twoway,local,7,8,1,17,5,12,3.5,8.5
